,day,time,room
857,Tu,09:00AM - 10:50AM,"Rm 5508, Lift 25-26 (30)"
858,Th,09:00AM - 10:50AM,"Rm 5508, Lift 25-26 (30)"
859,Tu,09:00AM - 10:50AM,"Rm 5508, Lift 25-26 (30)"
860,Th,09:00AM - 10:50AM,"Rm 5508, Lift 25-26 (30)"
861,Th,09:00AM - 12:20PM,"Rm 1014, LSK Bldg (80)"
862,Th,01:30PM - 04:20PM,"G003, CYT Bldg (30)"
863,Th,09:30AM - 12:50PM,"Rm 2003, LSK Bldg"
864,Th,09:30AM - 12:50PM,"Rm 2003, LSK Bldg"
865,Tu,07:00PM - 10:20PM,TBA
866,Tu,09:00AM - 12:20PM,"Rm 1033, LSK Bldg (50)"
867,Tu,02:30PM - 05:50PM,"Rm 1033, LSK Bldg (50)"
868,Tu,07:00PM - 09:50PM,Rm 6580
869,Th,07:00PM - 09:50PM,"Rm 6602, Lift 31-32 (60)"
870,Tu,03:00PM - 05:50PM,"Rm 2503, Lift 25-26 (87)"
871,Th,07:00PM - 09:50PM,"Rm 4620, Lift 31-32 (126)"
872,Tu,07:00PM - 09:50PM,"Rm 2502, Lift 25-26 (120)"
873,Th,07:00PM - 09:50PM,"Rm 4619, Lift 31-32 (126)"
874,Mo,10:30AM - 11:20AM,Lecture Theater J (300)
875,We,10:30AM - 11:20AM,Lecture Theater J (300)
876,We,10:30AM - 11:20AM,Lecture Theater J (300)
877,Mo,10:30AM - 11:20AM,Lecture Theater J (300)
878,We,10:30AM - 11:20AM,Lecture Theater J (300)
879,We,10:30AM - 11:20AM,Lecture Theater J (300)
880,Mo,12:00PM - 12:50PM,Lecture Theater C (213)
881,We,12:00PM - 12:50PM,Lecture Theater C (213)
882,We,12:00PM - 12:50PM,Lecture Theater C (213)
883,Mo,12:00PM - 12:50PM,Lecture Theater C (213)
884,We,12:00PM - 12:50PM,Lecture Theater C (213)
885,We,12:00PM - 12:50PM,Lecture Theater C (213)
886,Th,06:00PM - 06:50PM,"Rm 1010, LSK Bldg (80)"
887,Tu,06:00PM - 06:50PM,"Rm 1103, Acad Concourse (100)"
